	IQ_CITY	IQ_STATE	IQ_COUNTRY_NAME	IQ_COMPANY_NAME	IQ_CEO_NAME	IQ_EST_NEXT_EARNINGS_DATE
PEB	Bethesda	MD	United States	Pebblebrook Hotel Trust	"Bortz, Jon"	2015-10-23
PEGA	Cambridge	MA	United States	Pegasystems Inc.	"Trefler, Alan"	2015-10-29
PEP	Purchase	NY	United States	"Pepsico, Inc."	"Nooyi, Indra"	2015-10-16
PERY	Miami	FL	United States	Perry Ellis International Inc.	"Feldenkreis, George"	2015-08-19
PG	Cincinnati	OH	United States	The Procter & Gamble Company	"Lafley, Alan"	2015-08-09
PGR	Mayfield Village	OH	United States	Progressive Corp.	"Renwick, Glenn"	2015-08-05
PII	Medina	MN	United States	Polaris Industries Inc.	"Wine, Scott"	2015-10-22
PLAY	Dallas	TX	United States	"Dave & Buster's Entertainment, Inc."	"King, Stephen"	2015-09-04
PLCM	San Jose	CA	United States	"Polycom, Inc."	"Leav, Peter"	2015-10-21
PLKI	Atlanta	GA	United States	"Popeyes Louisiana Kitchen, Inc."	"Bachelder, Cheryl"	2015-09-01
PLOW	Milwaukee	WI	United States	"Douglas Dynamics, Inc."	"Janik, James"	2015-11-03
PNRA	St. Louis	MO	United States	Panera Bread Company	"Shaich, Ronald"	2015-10-27
PNY	Charlotte	NC	United States	Piedmont Natural Gas Co. Inc.	"Skains, Thomas"	2015-09-04
PODD	Billerica	MA	United States	Insulet Corporation	"Sullivan, Patrick"	2015-10-31
POST	St. Louis	MO	United States	"Post Holdings, Inc."	"Vitale, Robert"	2015-08-06
PRAA	Norfolk	VA	United States	"PRA Group, Inc."	"Fredrickson, Steven"	2015-08-10
PRLB	Maple Plain	MN	United States	"Proto Labs, Inc."	"Holt, Victoria"	2015-10-23
PSMT	San Diego	CA	United States	PriceSmart Inc.	"Laparte, Jose Luis"	2015-09-10
PYPL	San Jose	CA	United States	"PayPal Holdings, Inc."	"Schulman, Daniel"	2015-10-29
QCOM	San Diego	CA	United States	QUALCOMM Incorporated	"Mollenkopf, Steven"	2015-11-04
QGEN	Venlo	0	Netherlands	Qiagen NV	"Schatz, Peer"	2015-10-26
QLIK	Radnor	PA	United States	"Qlik Technologies, Inc."	"Bjork, Lars"	2015-10-23
RAVN	Sioux Falls	SD	United States	Raven Industries Inc.	"Rykhus, Daniel"	2015-08-19
RAX	San Antonio	TX	United States	"Rackspace Hosting, Inc."	"Rhodes, William"	2015-08-10
RCI	Bangkok	0	Thailand	The Royal Ceramic Industry Public Company Limited	"Youthanavaraporn, Suthin"	2015-08-10
RH	Corte Madera	CA	United States	"Restoration Hardware Holdings, Inc."	"Friedman, Gary"	2015-09-11
RHI	Menlo Park	CA	United States	Robert Half International Inc.	"Messmer, Harold"	2015-10-16
RKUS	Sunnyvale	CA	United States	"Ruckus Wireless, Inc."	"Lo, Selina"	2015-10-29
RNET	Houston	TX	United States	"RigNet, Inc."	"Slaughter, Mark"	1900-01-00
ROIC	San Diego	CA	United States	Retail Opportunity Investments Corp.	"Tanz, Stuart"	2015-10-29
ROLL	Oxford	CT	United States	RBC Bearings Inc.	"Hartnett, Michael"	2015-08-06
RPM	Medina	OH	United States	RPM International Inc.	"Sullivan, Frank"	1900-01-00
RPXC	San Francisco	CA	United States	RPX Corporation	"Amster, John"	2015-10-28
RSG	Phoenix	AZ	United States	"Republic Services, Inc."	"Slager, Donald"	2015-10-30
RST	Arlington	VA	United States	"Rosetta Stone, Inc."	"Hass, Arthur "	2015-08-05
RSTI	Plymouth	MI	United States	Rofin-Sinar Technologies Inc.	"Merk, Thomas"	2015-08-06
SAFT	Boston	MA	United States	Safety Insurance Group Inc.	"Brussard, David"	2015-08-05
SALE	Austin	TX	United States	"RetailMeNot, Inc."	"Cunningham, G."	2015-08-05
SAM	Boston	MA	United States	Boston Beer Co. Inc.	"Roper, Martin"	2015-10-27
SAVE	Miramar	FL	United States	"Spirit Airlines, Inc."	"Baldanza, B."	2015-10-28
SBS	Birkenfeld	0	Germany	STRATEC Biomedical AG	"Wolfinger, Marcus"	2015-10-28
SBUX	Seattle	WA	United States	Starbucks Corporation	"Schultz, Howard"	2015-10-30
SCTY	San Mateo	CA	United States	SolarCity Corporation	"Rive, Lyndon"	2015-10-29
SDRL	Hamilton	0	Bermuda	SeaDrill Limited	"Wullf, Per"	2015-08-27
SE	Houston	TX	United States	Spectra Energy Corp.	"Ebel, Gregory"	2015-08-05
SGEN	Bothell	WA	United States	"Seattle Genetics, Inc."	"Siegall, Clay"	2015-10-30
SHW	Cleveland	OH	United States	The Sherwin-Williams Company	"Connor, Christopher"	2015-10-26
SINA	Shanghai	0	China	SINA Corporation	"Chao, Guowei"	2015-08-14
SJI	Folsom	NJ	United States	"South Jersey Industries, Inc."	"Renna, Michael"	2015-08-07
SKUL	Park City	UT	United States	"Skullcandy, Inc."	"Darling, Seth"	2015-08-06
SLAB	Austin	TX	United States	Silicon Laboratories Inc.	"Tuttle, G."	2015-10-28
SLCA	Frederick	MD	United States	"U.S. Silica Holdings, Inc."	"Shinn, Bryan"	2015-10-29
SNCR	Bridgewater	NJ	United States	"Synchronoss Technologies, Inc."	"Waldis, Stephen"	2015-11-04
SNHY	Sarasota	FL	United States	Sun Hydraulics Corp.	"Carlson, Allen"	2015-11-06
SNI	Knoxville	TN	United States	"Scripps Networks Interactive, Inc."	"Lowe, Kenneth"	1900-01-00
SO	Atlanta	GA	United States	Southern Company	"Fanning, Thomas"	2015-10-29
SODA	Airport City	0	Israel	SodaStream International Ltd.	"Birnbaum, Daniel"	2015-08-05
SOHU	Beijing	0	China	Sohu.com Inc.	"Zhang, Charles"	2015-10-30
SPLK	San Francisco	CA	United States	"Splunk, Inc."	"Sullivan, Godfrey"	2015-08-27
SRCL	Lake Forest	IL	United States	"Stericycle, Inc."	"Alutto, Charles"	2015-10-23
SSL	Moorabbin	VIC	Australia	Sietel Ltd.	"Rees, Richard"	2015-11-28
SSNC	Windsor	CT	United States	"SS&C Technologies Holdings, Inc."	"Stone, William"	2015-10-29
SSTK	New York	NY	United States	"Shutterstock, Inc."	"Oringer, Jonathan"	2015-08-06
SSW	Majuro	0	Marshall Islands	Seaspan Corporation	"Wang, Gerry"	2015-10-13
SSYS	Eden Prairie	MN	United States	Stratasys Ltd.	"Reis, David"	2015-11-05
STAG	Boston	MA	United States	"STAG Industrial, Inc."	"Butcher, Benjamin"	2015-10-23
STMP	El Segundo	CA	United States	Stamps.com Inc.	"McBride, Kenneth"	2015-08-06
STO	Adelaide	SA	Australia	Santos Limited	"Knox, David"	2015-08-21
STON	Levittown	PA	United States	StoneMor Partners L.P.	"Miller, Lawrence"	2015-10-23
STRZA	Englewood	CO	United States	Starz	"Albrecht, Christopher"	2015-11-02
SVU	Eden Prairie	MN	United States	SUPERVALU Inc.	"Duncan, Sammy"	2015-10-16
SWIR	Richmond	BC	Canada	Sierra Wireless Inc.	"Cohenour, Jason"	2015-08-06
SWKS	Woburn	MA	United States	Skyworks Solutions Inc.	"Aldrich, David"	2015-11-06
SZYM	South San Francisco	CA	United States	"Solazyme, Inc."	"Wolfson, Jonathan"	2015-11-05
TCS	Coppell	TX	United States	"The Container Store Group, Inc."	"Tindell, William"	2015-09-29
TDC	Dayton	OH	United States	Teradata Corporation	"Koehler, Michael"	2015-08-06
TDG	Cleveland	OH	United States	TransDigm Group Incorporated	"Howley, Walter"	2015-11-13
TEVA	Petach Tikva	0	Israel	Teva Pharmaceutical Industries Limited	"Vigodman, Erez"	2015-10-30
TEX	Westport	CT	United States	Terex Corporation	"DeFeo, Ronald"	2015-10-21
TFSL	Cleveland	OH	United States	TFS Financial Corp	"Stefanski, Marc"	2015-10-29
TGH	Hamilton	0	Bermuda	Textainer Group Holdings Limited	"Brewer, Philip"	1900-01-00
TGNA	McLean	VA	United States	TEGNA Inc.	"Martore, Gracia"	2015-10-16
TILE	Atlanta	GA	United States	Interface Inc.	"Hendrix, Daniel"	2015-10-28
TLK	Toronto	ON	Canada	Frankly Inc.	"Chung, Steve"	2015-08-31
TNC	Minneapolis	MN	United States	Tennant Company	"Killingstad, H."	2015-10-23
TOT	Calgary	AB	Canada	Total Energy Services Inc.	"Halyk, Daniel"	2015-08-12
TREX	Winchester	VA	United States	Trex Co. Inc.	"Kaplan, Ronald"	2015-11-03
TRIP	Newton	MA	United States	TripAdvisor Inc.	"Kaufer, Stephen"	2015-11-02
TRUE 	Santa Monica	CA	United States	"TrueCar, Inc."	"Painter, Scott"	2015-08-06
TSLA	Palo Alto	CA	United States	"Tesla Motors, Inc."	"Musk, Elon"	2015-08-05
TTS	Plymouth	MN	United States	"Tile Shop Holdings, Inc."	"Homeister, Chris"	2015-10-21
TTWO	New York	NY	United States	Take-Two Interactive Software Inc.	"Zelnick, Strauss"	2015-08-10
TUBE	Emeryville	CA	United States	"TubeMogul, Inc."	"Wilson, Brett"	2015-08-10
TUMI	South Plainfield	NJ	United States	"Tumi Holdings, Inc."	"Griffith, Jerome"	2015-08-05
TWI	Quincy	IL	United States	Titan International Inc.	"Taylor, Maurice"	2015-10-29
TWTR	San Francisco	CA	United States	"Twitter, Inc."	"Dorsey, Jack"	2015-10-28
TXRH	Louisville	KY	United States	"Texas Roadhouse, Inc."	"Taylor, Wayne"	2015-10-31
UA	Baltimore	MD	United States	"Under Armour, Inc."	"Plank, Kevin"	2015-10-23
UBNT	San Jose	CA	United States	"Ubiquiti Networks, Inc."	"Pera, Robert"	2015-08-06
UGI	King Of Prussia	PA	United States	UGI Corporation	"Walsh, John"	1900-01-00
UHAL	Reno	NV	United States	AMERCO	"Shoen, Edward"	2015-08-05
UL	Paris	0	France	Unibail-Rodamco SE	"Cuvillier, Christophe"	1900-01-00
ULTA	Bolingbrook	IL	United States	"ULTA Salon, Cosmetics & Fragrance, Inc."	"Dillon, Mary"	2015-08-27
ULTI	Weston	FL	United States	"The Ultimate Software Group, Inc."	"Scherr, Scott"	2015-10-28
UNH	Minnetonka	MN	United States	UnitedHealth Group Incorporated	"Hemsley, Stephen"	2015-10-16
UPL	Houston	TX	United States	Ultra Petroleum Corp.	"Watford, Michael"	2015-10-30
UPS	Atlanta	GA	United States	"United Parcel Service, Inc."	"Abney, David"	2015-10-27
URBN	Philadelphia	PA	United States	Urban Outfitters Inc.	"Hayne, Richard"	2015-08-17
USLM	Dallas	TX	United States	"United States Lime & Minerals, Inc."	"Byrne, Timothy"	2015-10-28
V	San Francisco	CA	United States	Visa Inc.	"Scharf, Charles"	2015-10-29
VEEV	Pleasanton	CA	United States	Veeva Systems Inc.	"Gassner, Peter"	2015-08-27
VEOEY	Paris	0	France	Veolia Environnement S.A.	"Frérot, Antoine"	1900-01-00
VMW	Palo Alto	CA	United States	"VMware, Inc."	"Gelsinger, Patrick"	2015-10-21
VRTX	Boston	MA	United States	Vertex Pharmaceuticals Incorporated	"Leiden, Jeffrey"	2015-10-28
VRX	West Perth	WA	Australia	Ventnor Resources Limited	"Maluish, Bruce"	2015-09-22
VZ	New York	NY	United States	Verizon Communications Inc.	"McAdam, Lowell"	2015-10-20
WAB	Wilmerding	PA	United States	Westinghouse Air Brake Technologies Corporation	"Betler, Raymond"	2015-10-20
WD	Bethesda	MD	United States	"Walker & Dunlop, Inc."	"Walker, William"	2015-08-05
WEC	Milwaukee	WI	United States	"WEC Energy Group, Inc."	"Klappa, Gale"	2015-11-04
WETF	New York	NY	United States	"WisdomTree Investments, Inc."	"Steinberg, Jonathan"	2015-10-30
WFC	San Francisco	CA	United States	Wells Fargo & Company	"Stumpf, John"	2015-10-14
WFM	Austin	TX	United States	"Whole Foods Market, Inc."	0	2015-11-05
WGO	Forest City	IA	United States	"Winnebago Industries, Inc."	"Potts, Randy"	2015-10-15
WPRT	Vancouver	BC	Canada	Westport Innovations Inc.	"Demers, David"	2015-10-30
WSM	San Francisco	CA	United States	Williams-Sonoma Inc.	"Alber, Laura"	2015-08-19
WSO	Miami	FL	United States	Watsco Inc.	"Nahmad, Albert"	2015-10-21
WTR	Bryn Mawr	PA	United States	Aqua America Inc.	"Franklin, Christopher"	2015-08-05
WWAV	Denver	CO	United States	The WhiteWave Foods Company	"Engles, Gregg"	2015-08-07
XHR	Orlando	FL	United States	"Xenia Hotels & Resorts, Inc."	"Verbaas, Marcel"	2015-08-13
XONE	North Huntingdon	PA	United States	The ExOne Company	"Rockwell, S."	2015-08-10
XOOM	San Francisco	CA	United States	Xoom Corporation	"Kunze, John"	2015-10-29
XPO	Greenwich	CT	United States	"XPO Logistics, Inc."	"Jacobs, Bradley"	2015-08-05
YELP	San Francisco	CA	United States	Yelp Inc.	"Stoppelman, Jeremy"	2015-10-22
YHOO	Sunnyvale	CA	United States	Yahoo! Inc.	"Mayer, Marissa"	2015-10-20
YNDX	Amsterdam	0	Netherlands	Yandex N.V.	"Volozh, Arkady"	2015-10-23
Z	Seattle	WA	United States	"Zillow Group, Inc."	"Rascoff, Spencer"	1900-01-00
ZAYO	Boulder	CO	United States	"Zayo Group Holdings, Inc."	"Caruso, Daniel"	2015-09-25
ZEN	San Francisco	CA	United States	"Zendesk, Inc."	"Svane, Mikkel"	1900-01-00
ZINC	Pittsburgh	PA	United States	Horsehead Holding Corp.	"Hensler, James"	2015-08-07
ZLTQ	Pleasanton	CA	United States	"ZELTIQ Aesthetics, Inc."	"Foley, Mark"	2015-10-30
ZOES	Plano	TX	United States	"Zoe's Kitchen, Inc."	"Miles, Kevin"	2015-08-28
